Ativo,Estrategia,Original_Signal,Executed_Dir,Entry_Date,Date,Entry_Price,Exit_Price,Hold_Days,Exit_Reason,Metric,PNL,Return_%
GGBR4,Vol_Climax,Buy,Sell,2025-02-24,2025-02-28,15.5,15.99,5,Time Exit,Vz:2.7,-1580.65,-3.16
ALOS3,OU_MR,Buy,Sell,2025-02-26,2025-02-28,17.36,16.66,3,Time Exit,HL:3.5,2016.13,4.03
AZZA3,OU_MR,Buy,Sell,2025-02-26,2025-02-28,25.34,23.63,3,Time Exit,HL:3.6,3374.11,6.75
HAPV3,OU_MR,Buy,Sell,2025-02-27,2025-02-28,31.78,31.67,2,Time Exit,HL:3.0,173.06,0.35
PRIO3,OU_MR,Buy,Sell,2025-02-25,2025-03-05,36.78,37.39,5,Time Exit,HL:5.5,-829.26,-1.66
LREN3,Vol_Climax,Buy,Sell,2025-02-25,2025-03-05,10.39,10.45,5,Time Exit,Vz:4.2,-288.74,-0.58
CXSE3,OU_MR,Sell,Buy,2025-02-25,2025-03-05,14.29,14.52,5,Time Exit,HL:5.5,804.76,1.61
CBAV3,OU_MR,Sell,Buy,2025-02-13,2025-03-05,5.58,5.02,13,Stop Loss,HL:13.9,-5017.92,-10.04
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2025-02-28,2025-03-05,120.01,120.05,1,Daily Cash MtM,Beta,101.04,0.0333
BRAV3,OU_MR,Buy,Sell,2025-02-25,2025-03-05,19.0,16.63,5,Take Profit,HL:10.4,6236.84,12.47
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2025-03-05,2025-03-06,120.05,120.4,1,Daily Cash MtM,Beta,740.97,0.2915
GOAU4,Keltner_Squeeze,Sell,Buy,2025-02-24,2025-03-06,6.4,6.61,7,Time Exit,SqueezeBrk_Dn,1640.62,3.28
BHIA3,OU_MR,Buy,Sell,2025-02-26,2025-03-06,2.89,3.03,5,Time Exit,HL:5.3,-2422.15,-4.84
BBDC3,OU_MR,Buy,Sell,2025-03-05,2025-03-06,9.34,9.52,2,Time Exit,HL:2.7,-963.6,-1.93
BBDC4,OU_MR,Buy,Sell,2025-03-05,2025-03-07,10.1,10.55,3,Time Exit,HL:3.4,-2227.72,-4.46
BRAV3,VWAP_Divergence,Buy,Sell,2025-03-07,2025-03-07,16.35,17.99,1,Stop Loss,Div:-16.6%,-5015.29,-10.03
CAML3,Vol_Climax,Buy,Sell,2025-02-27,2025-03-07,3.31,3.55,5,Time Exit,Vz:3.9,-3625.38,-7.25
BRAP4,OU_MR,Sell,Buy,2025-02-24,2025-03-07,14.67,14.44,8,Time Exit,HL:8.3,-783.91,-1.57
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2025-03-06,2025-03-07,120.4,121.95,1,Daily Cash MtM,Beta,1971.6,1.2874
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2025-03-07,2025-03-10,121.95,121.3,1,Daily Cash MtM,Beta,-1031.19,-0.533
ABEV3,Vol_Climax,Sell,Buy,2025-02-28,2025-03-10,10.84,11.53,5,Time Exit,Vz:3.2,3182.66,6.37
CMIN3,OU_MR,Buy,Sell,2025-03-06,2025-03-10,4.87,5.0,3,Time Exit,HL:3.2,-1334.7,-2.67
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2025-03-10,2025-03-11,121.3,120.55,1,Daily Cash MtM,Beta,-582.97,-0.6183
ANIM3,OU_MR,Buy,Sell,2025-02-28,2025-03-11,1.73,1.77,6,Time Exit,HL:7.0,-1156.07,-2.31
ALOS3,OU_MR,Buy,Sell,2025-03-05,2025-03-11,16.27,16.67,5,Time Exit,HL:5.7,-1229.26,-2.46
DXCO3,OU_MR,Buy,Sell,2025-03-06,2025-03-12,5.06,4.98,5,Time Exit,HL:5.2,790.51,1.58
