Ativo	Entry_Date	Date	tranches_deployed	vwap_entry	exit_price	PNL	return_pct	exit_reason
CASH_SWEEP_BOVA11	2024-03-08	2024-03-11	0	123.26	122.32	-6,326.41	-0.76	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-03-11	2024-03-12	0	122.32	123.81	9,629.43	1.22	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-03-12	2024-03-13	0	123.81	124.37	3,722.29	0.45	Daily Cash MtM
B3SA3	2024-01-31	2024-03-13	1	12.01	11.81	-183.56	-1.67	Take Profit
BBDC4	2024-02-09	2024-03-13	2	11.16	11.63	921.04	4.21	Take Profit
BBDC3	2024-02-14	2024-03-14	2	10.11	10.31	429.74	1.98	Take Profit
MULT3	2024-02-15	2024-03-14	2	23.57	23.95	348.53	1.61	Take Profit
GGPS3	2024-03-05	2024-03-14	1	14.82	15.47	484.21	4.39	Take Profit
RECV3	2024-03-07	2024-03-14	2	15.49	16.62	1,601.41	7.28	Take Profit
CASH_SWEEP_BOVA11	2024-03-13	2024-03-14	0	124.37	123.82	-3,909.23	-0.44	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-03-14	2024-03-15	0	123.82	122.87	-6,667.87	-0.77	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-03-15	2024-03-18	0	122.87	123.05	1,135.13	0.15	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-03-18	2024-03-19	0	123.05	123.73	4,168.37	0.55	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-03-19	2024-03-20	0	123.73	125.45	10,392.05	1.39	Daily Cash MtM
CMIG4	2024-03-15	2024-03-21	1	6.40	6.82	721.65	6.56	Take Profit
CASH_SWEEP_BOVA11	2024-03-20	2024-03-21	0	125.45	124.37	-6,626.11	-0.86	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-03-21	2024-03-22	0	124.37	123.21	-6,912.13	-0.93	Daily Cash MtM
ISAE4	2024-03-05	2024-03-22	1	21.33	21.99	341.60	3.09	Take Profit
CPFE3	2024-03-14	2024-03-25	1	33.70	34.85	373.98	3.41	Take Profit
CASH_SWEEP_BOVA11	2024-03-22	2024-03-25	0	123.21	123.19	-120.99	-0.02	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-03-25	2024-03-26	0	123.19	123.24	293.66	0.04	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-03-26	2024-03-27	0	123.24	124.05	4,256.23	0.66	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-03-27	2024-03-28	0	124.05	124.33	1,446.81	0.23	Daily Cash MtM
BRAP4	2024-02-05	2024-04-01	3	15.57	15.58	38	0.09	Take Profit
PETR3	2024-03-11	2024-04-01	2	27.52	28.63	879.33	4.02	Take Profit
CASH_SWEEP_BOVA11	2024-03-28	2024-04-01	0	124.33	123.29	-5,838.52	-0.84	Daily Cash MtM
PETR4	2024-03-11	2024-04-02	2	26.39	27.71	1,097.50	5.01	Take Profit
CASH_SWEEP_BOVA11	2024-04-01	2024-04-02	0	123.29	123.74	2,449.46	0.37	Daily Cash MtM
EGIE3	2024-04-02	2024-04-03	1	25.37	26.03	286.34	2.60	Take Profit
