Loop_Date,Ativo,Entradas,Acuracia,Lucro_medio,Lucro_Max,Drowndown_max,Saldo,Rastreador,Gatilho,Ultimos3,Am1,Am2,Amanha,Operou_Dia,Close_D0,Gatilho_Dia,PNL,lot_size
2024-01-09,SOJA3,20,0.75,1.5,5.72,-3.62,60449.0,SOJA3_Down_0.5_high_Afastado_-0.5_Buy_Movimento,15.24,0.75,0.75,0.75,1,True,15.54,15.24,989.9999999999962,3300
2024-01-09,TASA4,55,0.71,1.0,3.3,-3.01,60341.0,TASA4_Up_0.5_open_Afastado_0_Sell_Pavio,13.31,0.75,0.71,0.7,1,False,13.05,13.31,987.9999999999992,3800
2024-01-09,VITT3,24,0.71,1.95,4.55,-4.9,59998.0,VITT3_Down_0.5_high_Afastado_0.5_Buy_Pavio,8.78,0.75,0.71,0.71,1,False,8.58,8.78,-1139.999999999996,5700
2024-01-10,BLAU3,25,0.84,1.61,5.73,-3.93,62991.0,BLAU3_Down_0.5_close_Afastado_0_Sell_GAP,14.98,1.0,0.84,0.84,1,True,14.54,14.98,1452.0000000000043,3300
2024-01-10,BRFS3,17,0.76,2.31,5.15,-2.97,63682.0,BRFS3_Up_0.5_open_Afastado_0_Buy_Corpo,12.27,0.75,0.76,0.76,1,True,12.34,12.27,287.0000000000008,4100
2024-01-10,GGPS3,58,0.71,1.06,4.3,-4.38,62694.0,GGPS3_Up_0.5_open_Afastado_-1_Sell_Pavio,18.11,0.75,0.71,0.68,1,True,18.0,18.11,307.99999999999835,2800
2024-01-10,GMAT3,22,0.77,1.66,4.12,-3.49,60239.0,GMAT3_Up_1_close_Afastado_-1_Sell_Corpo,6.85,0.75,0.77,0.77,1,True,6.69,6.85,1167.999999999994,7300
2024-01-10,PCAR3,45,0.78,2.3,6.78,-4.36,83474.0,PCAR3_Down_0.5_low_Afastado_0_Sell_Corpo,3.91,0.75,0.78,0.78,1,True,3.77,3.91,1792.0000000000011,12800
2024-01-10,PETZ3,19,0.74,2.07,5.43,-4.36,62744.0,PETZ3_Down_0.5_close_Afastado_0.5_Sell_GAP,3.64,1.0,0.74,0.74,1,False,3.52,3.64,1644.0000000000014,13700
2024-01-10,POMO3,41,0.73,1.65,5.94,-3.44,68103.0,POMO3_Down_0.5_close_Afastado_1_Buy_Pavio,4.16,0.75,0.73,0.73,1,True,4.21,4.16,599.9999999999976,12000
2024-01-10,RAPT4,16,0.88,1.93,5.6,-3.41,61630.0,RAPT4_Down_0.5_open_Afastado_0.5_Buy_Corpo,13.14,1.0,0.88,0.88,1,True,13.08,13.14,-228.00000000000188,3800
2024-01-10,RECV3,36,0.72,1.41,3.77,-4.3,61898.0,RECV3_Down_0.5_high_Afastado_-1_Sell_Movimento,16.99,1.0,0.72,0.72,1,False,16.43,16.99,1623.9999999999964,2900
2024-01-10,SBFG3,16,0.81,2.36,4.34,-3.91,64457.0,SBFG3_Down_0.5_open_Afastado_0_Sell_GAP,10.66,0.75,0.81,0.81,1,False,11.0,10.66,-1597.999999999999,4700
2024-01-10,SIMH3,28,0.71,1.88,5.32,-4.71,65001.0,SIMH3_Up_0.5_low_Afastado_-1_Sell_GAP,8.91,0.75,0.71,0.71,1,False,9.07,8.91,-896.0000000000005,5600
2024-01-10,SYNE3,32,0.72,1.4,3.43,-4.88,63204.0,SYNE3_Down_0.5_high_Afastado_0_Buy_Pavio,1.79,1.0,0.72,0.72,1,False,1.73,1.79,-1674.0,27900
2024-01-10,VITT3,24,0.71,1.95,4.55,-4.9,59998.0,VITT3_Down_0.5_high_Afastado_0.5_Buy_Pavio,8.78,0.75,0.71,0.71,1,False,8.52,8.78,-1481.9999999999989,5700
2024-01-11,AGXY3,14,0.71,2.81,5.46,-2.92,62022.0,AGXY3_Down_1.5_high_Afastado_-1_Sell_Corpo,47.97,0.75,0.71,0.71,1,False,44.7,47.97,3269.999999999996,1000
2024-01-11,GGPS3,59,0.71,1.05,4.3,-4.38,63002.0,GGPS3_Up_0.5_open_Afastado_-1_Sell_Pavio,18.18,0.75,0.71,0.68,1,False,17.64,18.18,1511.9999999999977,2800
2024-01-11,JSLG3,19,0.74,1.77,3.44,-2.9,59475.0,JSLG3_Up_0.5_low_Afastado_-0.5_Buy_Movimento,12.08,0.75,0.74,0.74,1,True,11.76,12.08,-1312.0000000000011,4100
2024-01-11,MILS3,26,0.77,1.58,4.67,-3.48,62771.0,MILS3_Down_1_close_Afastado_1_Buy_Corpo,12.66,0.75,0.77,0.77,1,False,12.12,12.66,-2106.0000000000036,3900
2024-01-11,PCAR3,46,0.78,2.34,6.78,-4.36,85266.0,PCAR3_Down_0.5_low_Afastado_0_Sell_Corpo,3.73,0.75,0.78,0.78,1,True,3.67,3.73,804.0,13400
2024-01-11,PETZ3,19,0.74,2.07,5.43,-4.36,62744.0,PETZ3_Down_0.5_close_Afastado_0.5_Sell_GAP,3.54,1.0,0.74,0.74,1,True,3.4,3.54,1974.0000000000014,14100
2024-01-11,PGMN3,16,0.81,2.24,5.19,-4.69,62335.0,PGMN3_Down_2_low_Afastado_0_Sell_Corpo,3.06,0.75,0.81,0.81,1,True,3.07,3.06,-162.9999999999951,16300
2024-01-11,POMO3,31,0.87,1.93,5.94,-4.19,73035.0,POMO3_Up_0.5_close_Afastado_1_Buy_Pavio,4.25,1.0,0.87,0.87,1,False,4.13,4.25,-1416.0000000000014,11800
2024-01-11,RECV3,36,0.72,1.41,3.77,-4.3,61898.0,RECV3_Down_0.5_high_Afastado_-1_Sell_Movimento,16.71,1.0,0.72,0.72,1,False,16.47,16.71,720.0000000000059,3000
2024-01-11,SIMH3,28,0.71,1.88,5.32,-4.71,65001.0,SIMH3_Up_0.5_low_Afastado_-1_Sell_GAP,8.93,0.75,0.71,0.71,1,True,8.88,8.93,279.99999999999386,5600
2024-01-11,SOJA3,21,0.76,1.53,5.72,-3.62,61439.0,SOJA3_Down_0.5_high_Afastado_-0.5_Buy_Movimento,15.51,0.75,0.76,0.76,1,True,15.57,15.51,192.0000000000016,3200
