Date,Ativo,Rastreador,Entry_Open,Exit_Close,PNL,Entry_Date,Costs_R$,Rel_Volume_Entry
2025-02-21,CASH_SWEEP,LONG,124.47,123.94,723.19,2025-02-20,0.0,0.0
2025-02-24,MULT3,LONG,21.36,21.22,-999.61,2025-01-31,264.14,3.06
2025-02-24,BBAS3,LONG,26.42,26.42,-139.75,2025-02-21,279.65,4.77
2025-02-24,CASH_SWEEP,LONG,123.94,122.49,-1192.56,2025-02-21,0.0,0.0
2025-02-25,RDOR3,LONG,25.55,25.18,-2036.61,2025-01-28,261.57,3.04
2025-02-25,RECV3,LONG,14.46,13.47,-9698.43,2025-02-21,270.08,3.09
2025-02-25,CASH_SWEEP,LONG,122.49,122.83,1000.49,2025-02-24,0.0,0.0
2025-02-26,CASH_SWEEP,LONG,122.83,121.82,-703.5,2025-02-25,0.0,0.0
2025-02-27,IRBR3,LONG,42.22,44.64,7170.67,2024-12-27,262.34,4.12
2025-02-27,COGN3,LONG,1.14,1.33,21800.92,2025-01-27,285.54,3.19
2025-02-27,ISAE4,LONG,21.44,21.52,369.81,2025-02-05,271.8,3.13
2025-02-27,ENGI11,LONG,35.18,34.38,-3268.34,2025-02-26,272.61,3.4
2025-02-27,HYPE3,LONG,18.16,18.11,-516.84,2025-02-26,275.37,9.72
2025-02-27,CASH_SWEEP,LONG,121.82,121.75,-448.64,2025-02-26,0.0,0.0
2025-02-28,SANB11,LONG,25.07,24.23,-4643.84,2025-02-06,265.04,3.96
2025-02-28,CASH_SWEEP,LONG,121.75,120.01,-11085.32,2025-02-27,0.0,0.0
2025-03-05,CASH_SWEEP,LONG,120.01,120.05,75.22,2025-02-28,0.0,0.0
2025-03-06,CEAB3,LONG,9.31,9.33,154.26,2025-02-28,269.63,3.58
2025-03-06,EZTC3,LONG,8.83,8.8,-591.39,2025-03-05,268.85,3.47
2025-03-06,CASH_SWEEP,LONG,120.05,120.4,1441.7,2025-03-05,0.0,0.0
2025-03-07,CASH_SWEEP,LONG,120.4,121.95,6384.7,2025-03-06,0.0,0.0
2025-03-10,TOTS3,LONG,32.81,33.46,2547.7,2025-02-05,273.98,5.85
